,file,height,label,left,top,width
0,../Data/train/1.png,219.0,1.0,246.0,77.0,81.0
1,../Data/train/1.png,219.0,9.0,323.0,81.0,96.0
2,../Data/train/2.png,32.0,2.0,77.0,29.0,23.0
3,../Data/train/2.png,32.0,3.0,98.0,25.0,26.0
4,../Data/train/3.png,15.0,2.0,17.0,5.0,8.0
5,../Data/train/3.png,15.0,5.0,25.0,5.0,9.0
6,../Data/train/4.png,34.0,9.0,57.0,13.0,15.0
7,../Data/train/4.png,34.0,3.0,72.0,13.0,13.0
8,../Data/train/5.png,46.0,3.0,52.0,7.0,21.0
9,../Data/train/5.png,46.0,1.0,74.0,10.0,15.0
10,../Data/train/6.png,21.0,3.0,28.0,6.0,10.0
11,../Data/train/6.png,21.0,3.0,38.0,8.0,11.0
12,../Data/train/7.png,32.0,2.0,35.0,10.0,13.0
13,../Data/train/7.png,32.0,8.0,47.0,11.0,13.0
14,../Data/train/8.png,15.0,7.0,17.0,4.0,7.0
15,../Data/train/8.png,15.0,4.0,25.0,4.0,6.0
16,../Data/train/8.png,15.0,4.0,31.0,3.0,7.0
17,../Data/train/9.png,24.0,1.0,19.0,4.0,14.0
18,../Data/train/9.png,24.0,2.0,29.0,4.0,13.0
19,../Data/train/9.png,24.0,8.0,38.0,5.0,17.0
20,../Data/train/10.png,27.0,1.0,25.0,6.0,9.0
21,../Data/train/10.png,27.0,6.0,34.0,4.0,14.0
22,../Data/train/11.png,26.0,2.0,22.0,5.0,12.0
23,../Data/train/11.png,26.0,3.0,33.0,4.0,9.0
24,../Data/train/12.png,55.0,6.0,67.0,16.0,23.0
25,../Data/train/12.png,55.0,3.0,90.0,17.0,20.0
26,../Data/train/13.png,33.0,4.0,44.0,12.0,17.0
27,../Data/train/13.png,33.0,2.0,63.0,13.0,18.0
28,../Data/train/14.png,42.0,5.0,35.0,2.0,21.0
29,../Data/train/14.png,42.0,8.0,55.0,2.0,23.0
30,../Data/train/15.png,20.0,1.0,22.0,8.0,14.0
31,../Data/train/15.png,20.0,6.0,33.0,7.0,10.0
32,../Data/train/16.png,19.0,2.0,20.0,3.0,7.0
33,../Data/train/16.png,19.0,3.0,26.0,1.0,7.0
34,../Data/train/17.png,22.0,7.0,23.0,4.0,14.0
35,../Data/train/17.png,22.0,9.0,35.0,4.0,12.0
36,../Data/train/18.png,41.0,5.0,52.0,12.0,28.0
37,../Data/train/18.png,41.0,3.0,80.0,17.0,21.0
38,../Data/train/19.png,19.0,2.0,19.0,1.0,7.0
39,../Data/train/19.png,19.0,2.0,28.0,1.0,7.0
40,../Data/train/19.png,19.0,2.0,36.0,1.0,7.0
41,../Data/train/20.png,24.0,6.0,20.0,2.0,11.0
42,../Data/train/20.png,24.0,2.0,32.0,1.0,11.0
43,../Data/train/21.png,85.0,2.0,72.0,6.0,52.0
44,../Data/train/22.png,16.0,5.0,24.0,4.0,10.0
